YEAR,Start_Year,Home_Value,Source
2017,0,182061,zillow 
2018,1,203123,zillow 
2019,2,210664,zillow 
2020,3,220612,zillow 
2021,4,259358,zillow 
2022,5,309487,zillow 
2023,6,305604,zillow 
2024,7,306928,zillow 
